brand,title,views,likes,comments,engagement_rate_%
Crompton smart fan,How to install a Crompton Blossom smart fan. #how #howto #reinventyourhome,10749,95,4,0.921
Crompton smart fan,How to pair Crompton BLDC fan with Remote | Remote pairing#bldcfan #remote #pair #electronic #dc #ac,344811,1455,81,0.4455
Crompton smart fan,"Crompton Energion Hyperjet Smart BLDC Fan – Unboxing, Installation & Full Review ⚡",221457,540,47,0.2651
Crompton smart fan,Crompton Smart BLDC Celling Fan Unboxing & Review,25411,187,37,0.8815
Crompton smart fan,Crompton BLDC Remote Fan Unboxing,296326,4896,65,1.6742
Crompton smart fan,Crompton blossom smart fan #crompton 😍🔥🔥#sailet#trending#fans #😊😍#viralvideo #brand #smartfan,6527,68,1,1.0571
Crompton smart fan,#Crompton smart sealing# fan,47771,688,18,1.4779
Crompton smart fan,Crompton Energion Hyperjet BLDC Ceiling Fan | Best Ceiling Fan,84599,0,10,0.0118
Crompton smart fan,How to Pair BLDC Fan with Remote | Crompton BLDC Fan Remote Pairing | Easy user guide #bldcfan #fan,104790,594,157,0.7167
Crompton smart fan,Crompton Energion Rover Smart Fans,14305,52,6,0.4055
Crompton smart fan,Crompton Hyperjet BLDC Fan installation |  Remote |1200 mm | with 2 Years Warranty 🔥 ,1038,12,4,1.5414
Crompton smart fan,Crompton Blossom Smart Fan,57099,343,31,0.655
Crompton smart fan,"Crompton Energion Hyperjet BLDC Ceiling Fan @ ₹2,099",39867,133,4,0.3436
Bajaj smart fan,BAJAJ BLDC FAN WITH REMOTE #bajaj #bldcfan #home #office #hall #trending #bedroom,138286,567,13,0.4194
Bajaj smart fan,Havells BLDC fan remote pairing #viral #bldcfan #shortsfeed #remote,650173,3413,29,0.5294
Bajaj smart fan,New Lonch BLDC bajaj fan with smart Fitchers # Bajaj EUROSTOS BLDC fan,1692,6,0,0.3546
Bajaj smart fan,Bajaj Celing Fan Remote Pairing ! Bajaj Ceiling Fan Remote Pairing Kaise Kare #bajajfans,15201,102,20,0.8026
Bajaj smart fan,Bajaj Fans Super5Tuff™️ Technology I 5-Year Product Warranty I Built for Life,20394,126,3,0.6325
Bajaj smart fan,BAJAJ BLDC REMOTE CONTROL FAN #new  2023,717818,5167,40,0.7254
Bajaj smart fan,Bajaj new ceiling fan #bajaj #fan #bajajfan #ceilingfan,199076,716,1,0.3602
Bajaj smart fan,Mini Cooling Fan Vs Bajaj cooling stand Fan Unboxing🔥,2276209,10401,14,0.4576
Bajaj smart fan,Bajaj Pygmy Go Mini Fan| Rechargeable Fan| Amazon finds|#shorts #amazon #amazonfinds #bajaj #online,256219,1893,36,0.7529
Bajaj smart fan,🔆இது எல்லாருக்குமே Use ஆகுமே!🔥⚡BAJAJ Mini portable Fan #shorts #gadgets,500662,25803,113,5.1763
Bajaj smart fan,Bajaj built for life 🌻wd remote #system #bldcfan #bajaj #bedroom   #viralvideo #trending,14692,81,1,0.5581
Bajaj smart fan,Bajaj Pygmy Go Personal Mini Fan | Type C Charging | 4-hrs Battery | 3-Speed Levels | LED | Portable,64586,1258,53,2.0299
Bajaj smart fan,how to pair fan remote Malayalam #shorts,123678,835,31,0.7002
Bajaj smart fan,Ceiling fan 😩 atomberg studio smart plus fan #fan #fansound #shorts #shortsvideo #viralvideo,1366064,5683,33,0.4184
Bajaj smart fan,Havells Designer Ceiling Fan with Remote #youtubeshorts #shorts,6585085,46637,60,0.7091
Orient smart fan,Orient 1200 Mm 3 Balde Ceiling Fan ✅ Best 5 Star BLDC Fan 💥Must Buy #ceilingfan #orient #bldcfan,134684,539,8,0.4061
Orient smart fan,Save upto 50% Electricity with this smart ceiling Aerosense BLDC Pro fan,125575,3968,66,3.2124
Orient smart fan,Orient bldc fans Ecotech prime Re 1200 mm,131439,599,31,0.4793
Orient smart fan,घर के लिए सबसे बढ़िया स्मार्ट सीलिंग फैन | Best Smart Ceiling Fan For Home | Orient Aeroslim Fan |,2651,16,0,0.6035
Orient smart fan,Orient Aeroslim Ceiling Fan,72724,598,4,0.8278
Orient smart fan,Save 50% Electricity Bill ? Orient Smart BLDC Celling Fan with Remote Unboxing & Review,87330,593,105,0.7993
Orient smart fan,Orient Aerosense BLDC | Smart and Silent Fan | Premium BLDC Ceiling Fan,23477,187,4,0.8136
Orient smart fan,Orient remote celling fan LED light off on 🔥 #orient #remote #fans #led #trending #shortsfeed,309957,1440,40,0.4775
Orient smart fan,Orient BLDC remote celling fan amazing speed #orient #remote #fans #amazing #speed,418081,2138,161,0.5499
Orient smart fan,ORIENT i-float SMART FAN REVIEW,42529,145,45,0.4468
Orient smart fan,Orient Electric 1200 mm Zeno BLDC BLDC ceiling fan with Remote #orientelectric #bldcfan #shortsfeed,36915,252,7,0.7016
Orient smart fan,Smart Voice Controlled Fans || Tech X Design || Next-Gen Orient Electric BLDC Fans | Malayalam,163789,20,1,0.0128
Orient smart fan,ओरिएंट एयरोस्लिम पंखे के रिमोट के सारे फंक्शन | All Functions Of Orient Aeroslim Fan Remote | Fan |,2599,31,20,1.9623
Orient smart fan,Best Premium Ceiling Fan? Orient Aeroslim Smart Ceiling Fan - A Fan Unlike Any Other Fan,30141,182,33,0.7133
Orient smart fan,Best BLDC Ceiling Fan In 2025⚡Top 3 BLDC Fan 2025 in India Atomberg Renesa Enzel BLDC Fan,589981,3023,117,0.5322
